track_id,title,song_id,release,artist_id,artist_mbid,artist_name,duration,artist_familiarity,artist_hotttnesss,year
TRDVOZX128F93283A3,Jersey Belle Blues,SOKMEHX12AB0180877,Backwater Blues,ARDNQ0R1187B9BA1EF,dbfd61ef-fce1-4803-9f18-7bfdd3996508,Lonnie Johnson,177.91955,0.558926254341,0.404827116559,1940
TRDPMEU12903CC5434,Get Yourself Together,SOFCPUM12AB018A4EB,Rambler's Blues,ARDNQ0R1187B9BA1EF,dbfd61ef-fce1-4803-9f18-7bfdd3996508,Lonnie Johnson,190.40608,0.558932177687,0.404827116559,1940
TRJQDNJ128F426E8CE,Jersey Bull Blues,SOKDFLC12A8C1354AE,Complete Recordings_ CD E,ARTDUXM1187B9899ED,c71b4f57-29da-4bf2-bccb-9dc81cd2d905,Charley Patton,192.62649,0.574300068277,0.375593582585,1934
TRRRGCS128F4280BB6,High Fever Blues,SONQUOG12A8C13C76F,The Panama Limited,ARNEL2O1187FB4421A,882af819-887e-4691-a4af-b14613058942,Bukka White,174.10567,0.572470887784,0.424487598725,1940
TRISTAT12903CFCBA1,Safety Mama,SODFTCC12AC95F0214,The Blues Collection,ARYYCVC1187B9A8510,ffa28768-ecda-42c6-ac49-6ce5c7d33043,Bessie Smith,191.73832,0.637521050415,0.404798068262,1931
TRAFHZD128F428142B,Strange Fruit,SOTZTGJ12D02191F34,Jukebox Hits 1935-1946,ARJGQDS1187B99DDEA,d59c4cda-11d9-48db-8bfe-b557ee602aed,Billie Holiday,176.61342,0.795691914662,0.580435109953,1939
TRAMWSA128F9359719,Old Shep,SOSBXRW12AB01857E0,25 Country Memories,AR9HABI1187FB3ACAA,aff932c2-ec30-4ee9-9125-5f761aae61a4,Red Foley,192.80934,0.48170358567,0.342626790602,1936
TRHRKYP128F4280BB1,Aberdeen Mississippi Blues,SONNDZZ12A8C13BA9D,The Panama Limited,ARNEL2O1187FB4421A,882af819-887e-4691-a4af-b14613058942,Bukka White,160.13016,0.572470887784,0.424487598725,1940
TRYMDFV128F427DEAE,49 Highway Blues,SOMKVQX12A8C13A81C,Big Joe Williams Vol. 1 1935 - 1941,ARFNKDR1187B9B19CF,bf295ac0-21e8-4e11-89e9-22b10fd8973a,Big Joe Williams,167.99302,0.553720195485,0.40078584337,1935
TREAPSO12903CC6C76,Parchman Farm Blues,SOWZXJK12A6D4F9BC4,Fixin' to Die,ARNEL2O1187FB4421A,882af819-887e-4691-a4af-b14613058942,Bukka White,159.7122,0.572470887784,0.430055177352,1940
TROSBLW12903CF76A4,Echoes Of Harlem,SOFOIST12AC3DF6A94,Black Beauty,AREEKBZ1187B994CAE,c01557ad-d41e-4316-a285-605769e2ab3b,Duke Ellington & His Orchestra,178.99057,0.364605620996,0.468842690328,1936
TRGWQAL128F42A03E3,Murder In The First Degree,SOAMSNI12A8C14094A,Lil Johnson Vol. 2 1936-1937,AR4EHLL1187FB56C6D,8c76e340-3499-4889-af90-9d504cf8f109,Lil Johnson,173.7922,0.430579633917,0.272520566589,1936
TRPFJIN128F4280BB7,District Attorney Blues,SOCDSJF12A8C13C775,The Panama Limited,ARNEL2O1187FB4421A,882af819-887e-4691-a4af-b14613058942,Bukka White,164.62322,0.572470887784,0.424487598725,1940
TRZAUFF128F424AB9F,Jeepers Creepers,SOAHXAQ12CF51A95B4,Wonderful Christmas,ARB1DDF1187FB4FCFB,eea8a864-fcda-4602-9569-38ab446decd6,Louis Armstrong,289.17506,0.811964403606,0.622657793036,1939
TRBTJBU128F42806AE,You Can't Get That Stuff No More,SOBOWZK12A8C1385DB,Tampa Red Vol. 5 (1931 - 1934),AR576O51187B990C30,1b62df85-00d2-464f-81bc-a5c0cdcad278,Tampa Red,189.46567,0.507796884928,0.354602925877,1932
TRHNCYA128F42408C8,Walking The Street,SOLCYOO12A58A8041B,Georgia White Vol. 2 1936-1937,ARPUEKY1187B99ACDF,baa93085-4b0c-4528-bf6b-52f27fff0162,Georgia White,154.3571,0.38027364457,0.304319289567,1937
TRNLUIK128F4261D02,Cypress Grove Blues,SOTMOVY12A8C135A9B,Legends Of Country Blues: The Complete Pre-War Recordings Of Skip James (Disc A),ARL99WU1187B98FB1F,f205743d-4441-471d-a3af-66f584738e29,Skip James,192.46975,0.623698243161,0.421795209615,1931
TRCYBTD12903CF37BD,Devil Got My Woman,SOFYCVA12A58A77D38,Vanguard Visionaries,ARL99WU1187B98FB1F,f205743d-4441-471d-a3af-66f584738e29,Skip James,312.39791,0.623698243161,0.421795209615,1931
TRXBTVP128F932E657,Devil Got My Woman,SODACRM12A58A7D47D,Rhythm is our Business,ARL99WU1187B98FB1F,f205743d-4441-471d-a3af-66f584738e29,Skip James,178.88608,0.623698243161,0.421795209615,1931
TRINBQR128F92E6A88,Fixin' To Die Blues,SOLGNYB12AB0183F1B,Southern Blues Vol.2,ARNEL2O1187FB4421A,882af819-887e-4691-a4af-b14613058942,Bukka White,165.09342,0.572470887784,0.424487598725,1940
TRXKQDC128F427DF06,Trust Your Husband,SOMIBHE12A8C139674,Lonnie Johnson Vol. 1 1937 - 1940,ARDNQ0R1187B9BA1EF,dbfd61ef-fce1-4803-9f18-7bfdd3996508,Lonnie Johnson,161.17506,0.558905413853,0.404827116559,1940
TRYHMDK128F422A100,Solitude,SOCKJWM12A8AE47A0E,The Golden Years Of Jazz Volume 5,AREEKBZ1187B994CAE,c01557ad-d41e-4316-a285-605769e2ab3b,Duke Ellington & His Orchestra,218.38322,0.364605620996,0.410773859696,1934
TRSQWUV128F429FC3A,All Alone Blues,SOATTHO12A8C14088B,Peetie Wheatstraw Vol. 1 1930-1932,AR3JGV01187B9AC0DC,4b522d01-7efd-478b-9910-1f9d7de40f72,Peetie Wheatstraw,189.67465,0.431398798187,0.392925315216,1932
TRHDTEX12903CDDEA6,War Time Blues,SOEIXDO12AB018E4B4,Les légendes du Blues,AR3MHG01187FB3CEE1,8ebad434-3593-49bc-b60c-bd66e8efbbbb,Sonny Boy Williamson,177.162,0.647986698476,0.379171985477,1940
TRJWBCY128F9314AD2,Tuxedo Junction,SOLPWHW12A8C136691,Tuxedo Junction,ARV1T931187B9A6CCF,1fd74817-b3bf-4a70-bf44-14b00d6a4789,Erskine Hawkins & His Orchestra,199.1571,0.336766596652,0.201175520285,1939
TRRCMXX128F92D65ED,Tuxedo Junction,SOBIHYM12A8C145CD7,The Uncollected: Erskine Hawkins And His Orchestra,ARV1T931187B9A6CCF,1fd74817-b3bf-4a70-bf44-14b00d6a4789,Erskine Hawkins and His Orchestra,346.87955,0.336766596652,0.201175520285,1939
TROHHLM128F93399F8,Pinebluff Arkansas,SOJLCCI12AB0186AF2,Blues With Bukka,ARNEL2O1187FB4421A,882af819-887e-4691-a4af-b14613058942,Bukka White,158.27546,0.572470887784,0.424487598725,1937
TRXCTIT128F93408CE,Down On My Knees,SODPBSD12AB0187F9D,A Night To Remember,ARFUFNK1187B9BA219,99ab25d6-7c8e-4f0a-b168-44e0db6860c1,Roosevelt Sykes,168.51546,0.501247791744,0.356898014201,1938
TRJDFIU128F1487356,Summit Ridge Drive,SOGEXVA12A6D4F7B92,Flags of Our Fathers,ARVYGOU11E2835EF89,e0e03d5f-913c-4ac2-b09d-60dd98ce22d8,Artie Shaw and His Gramercy Five,202.44853,0.320974666144,0.239470939823,1940
TREKKYO12903CB0F4A,Rollin' Mama Blues,SOQFKAW12AB01870FE,Experience Blues,ARRU9GR1187FB43F56,81e02e29-e46a-49cb-bf13-d204cbe86daa,Blind Willie McTell,183.48363,0.591428551964,0.385344913733,1932
TRGZKYM128F427E415,Bye Bye Baby,SOFNHOE12A8C13886A,Blind Boy Fuller Vol. 6 1940,ARUNYOW1187FB43F2A,d9109c45-ddf6-4481-89ee-d6bee8306db3,Blind Boy Fuller,169.97832,0.541231189007,0.360170271249,1940
TRGRDCS128F426E8D2,Poor Me,SOIJOGZ12A6D4F4772,Complete Recordings_ CD E,ARTDUXM1187B9899ED,c71b4f57-29da-4bf2-bccb-9dc81cd2d905,Charley Patton,181.26322,0.574298935742,0.375593582585,1934
